# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: tseyor.org
# Propiedad: https://tseyor.org - GA4
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20260101
# Fecha de finalización: 20260717
Ruta de página y clase de pantalla,Vistas,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos,Eventos clave,Total de ingresos
/descubre,78,35,2.2285714285714286,61.05714285714286,111,0,0
/eventos/conversaciones-con-los-guias-estelares,78,48,1.625,88.14583333333333,223,0,0
/audios/157-orsil-y-aium-om-taller-cosmico,77,13,5.923076923076923,61,148,0,0
/audios/r39-melcor-taller-de-sanacion-fisica-y-mental-con-el-cerebro,77,36,2.138888888888889,118.55555555555556,287,0,0
/archivos/equipos,76,28,2.7142857142857144,27.035714285714285,90,0,0
/comunicados/1306-el-vertice-de-la-piramide-invertida,76,34,2.235294117647059,69.5,240,0,0
/comunicados/1317-el-inicio-de-un-nuevo-proceso-interestelar,76,40,1.9,53.35,213,0,0
/comunicados/1304-un-nuevo-portal-interdimensional,75,35,2.142857142857143,178.2,229,0,0
/comunicados/1320-ich-se-ha-abierto-un-nuevo-portal,74,41,1.8048780487804879,22.29268292682927,181,0,0
/comunicados/1362-todo-nos-sirve-para-despertar,74,41,1.8048780487804879,157.9268292682927,231,0,0
/salas,73,20,3.65,149.65,107,0,0
/audios/shilcars-taller-de-la-piedra-en-el-estomago,71,22,3.227272727272727,175.54545454545453,212,0,0
/user/profile,71,35,2.0285714285714285,14.657142857142857,114,0,0
/comunicados/1313-la-idea-en-nuestro-pensamiento-jamas-sera-destruida,70,35,2,186.25714285714287,218,0,0
/equipos/consejo-de-los-doce/informes,70,4,17.5,27.75,78,0,0
/informes/10,70,8,8.75,9.25,104,0,0
/contactar,69,49,1.4081632653061225,41.93877551020408,100,0,0
/meditaciones/813-taller-de-la-celula-virgen-que-anida-en-nuestro-estomago-por-noiwanak,69,25,2.76,93.76,253,0,0
/comunicados/1303-nueva-composicion-del-consejo-de-los-doce,68,32,2.125,93.90625,176,0,0
/el-rayo-sincronizador,68,48,1.4166666666666667,52.3125,89,0,0
/equipos/departamento-de-divulgacion,68,15,4.533333333333333,13.2,80,0,0
/noticias,68,44,1.5454545454545454,125.29545454545455,106,0,0
/audios/ludwig-van-beethoven-quinta-sinfonia,67,14,4.785714285714286,88,203,0,0
/comunicados/tap-238-la-comprension-se-alcanza-en-la-humildad,66,35,1.8857142857142857,3.3714285714285714,146,0,0
/audios/melcor-sanacion-del-planeta-tierra,65,18,3.611111111111111,8.277777777777779,126,0,0
/libros/la-revolucion-de-la-consciencia,64,55,1.1636363636363636,38.018181818181816,80,0,0
/comunicados/1312-se-necesita-experienciar-todo,63,31,2.032258064516129,163.5483870967742,185,0,0
/comunicados/1314-el-objetivo-es-fundirse-en-la-unidad,63,33,1.9090909090909092,61.666666666666664,162,0,0
/comunicados/1368-unidos-con-nosotros-mismos,63,40,1.575,38.125,163,0,0
/comunicados/1371-habremos-de-prepararnos-para-la-invisibilidad,63,38,1.6578947368421053,9.736842105263158,152,0,0
/mis-primeros-pasos,63,45,1.4,62.08888888888889,73,0,0
/audios/edvard-grieg-peer-gynt-suites-no-1-y-2,62,18,3.4444444444444446,2,124,0,0
/comunicados/1308-todo-se-basa-en-el-adecuado-equilibrio,61,32,1.90625,101.71875,181,0,0
/comunicados/1316-lanzarote-una-isla-que-es-un-regalo-de-la-creacion,61,35,1.7428571428571429,21.085714285714285,159,0,0
/mis_archivos,61,36,1.6944444444444444,4.027777777777778,67,0,0
/comunicados/1370-estamos-unidos-por-el-amor,60,32,1.875,12.1875,135,0,0
/comunicados/importado-de-1302-250223-1-2docx-50794,60,33,1.8181818181818181,82.66666666666667,151,0,0
/inscripcion,60,45,1.3333333333333333,16.22222222222222,70,0,0
/comunicados/1307-un-lugar-en-donde-se-os-pueda-conocer-con-facilidad-en-la-ciudad-de-barcelona,59,30,1.9666666666666666,176.03333333333333,190,0,0
/comunicados/1315-nos-une-un-proyecto-comun-de-ayuda-universal,59,31,1.903225806451613,78.29032258064517,187,0,0
/comunicados/tap-239-la-sociedad-enferma-a-pasos-agigantados,59,30,1.9666666666666666,148.33333333333334,168,0,0
/equipos/departamento-de-experiencias/informes,59,4,14.75,15.75,59,0,0
/libros/la-enfermedad-una-oportunidad-para-la-comprension,59,35,1.6857142857142857,18.885714285714286,129,0,0
/comunicados/1363-realmente-se-esta-produciendo-la-aproximacion,58,42,1.380952380952381,26.261904761904763,148,0,0
/guias/alux-pen,58,45,1.288888888888889,5.266666666666667,73,0,0
/libros/album-de-arcanos-para-colorear,58,36,1.6111111111111112,21.36111111111111,148,0,0
/comunicados/1301-el-universo-todo-esta-en-el-suut,56,31,1.8064516129032258,146.16129032258064,163,0,0
/meditaciones/mantra-de-proteccion-dado-por-noiwanak,56,37,1.5135135135135136,25.27027027027027,142,0,0
/comunicados/1299-y-ahora-que-toca-hacer,55,24,2.2916666666666665,294.25,162,0,0
/archivos/equipos/interiorizacion/nivel_dos/2026,54,16,3.375,82.375,78,0,0
/meditaciones/taller-de-unidad-con-melcor,54,32,1.6875,92.15625,142,0,0
/audios/305-melcor-taller-de-fusion-de-replicas,53,10,5.3,54.5,110,0,0
/audios/336-melcor-taller-de-autoobservacion-el-origen-de-nuestros-pensamientos,53,17,3.1176470588235294,0.8823529411764706,103,0,0
/comunicados/1300-necesitamos-tomar-consciencia,53,26,2.0384615384615383,114.76923076923077,140,0,0
/comunicados/1310-si-no-plantais-nada-nada-va-a-florecer,53,30,1.7666666666666666,84.26666666666667,152,0,0
/comunicados/1319-detalles-del-plan-cosmico-para-la-tierra,53,39,1.358974358974359,23,126,0,0
/guias/noiwanak,53,42,1.2619047619047619,2.5476190476190474,65,0,0
/comunicados/1311-la-globalizacion-y-la-especializacion-para-la-divulgacion,52,34,1.5294117647058822,95.8529411764706,148,0,0
/meditaciones/124-taller-para-deshacer-el-apego-del-dolor-por-shilcars,52,35,1.4857142857142858,11,102,0,0
/inscripciones/mis-asignaciones,51,16,3.1875,50.375,86,0,0
/preguntas-frecuentes/1,51,32,1.59375,118.46875,69,0,0
/audios/280-melcor-taller-de-reunificacion,50,15,3.3333333333333335,42.8,120,0,0
/audios/t48-melcor-el-proceso-de-la-regeneracion-celular,50,30,1.6666666666666667,2.6333333333333333,100,0,0
/comunicados/1305-pedir-a-nuestra-replica-que-nos-ilumine-en-la-divulgacion,50,30,1.6666666666666667,103.76666666666667,138,0,0
/comunicados/1367-respeto,50,27,1.8518518518518519,113.29629629629629,150,0,0
/meditaciones/853-taller-de-transformacion-de-impresiones-hacia-el-optimismo-la-alegria-y-la-confianza-shilcars,50,32,1.5625,29.375,149,0,0
/comunicados/1309-en-busca-del-arca-perdida,49,30,1.6333333333333333,119.13333333333334,162,0,0
/guias/los-peques-del-espacio,49,34,1.4411764705882353,0.7941176470588235,53,0,0
/archivos/equipos/interiorizacion/nivel_dos/2025/Congreso,48,15,3.2,201.53333333333333,201,0,0
/forgot-password,48,29,1.6551724137931034,1.3103448275862069,52,0,0
/audios/jean-sibelius-suite-karelia,47,21,2.238095238095238,10.285714285714286,146,0,0
/centros,46,38,1.2105263157894737,37.26315789473684,73,0,0
/comunicados/1366-chispazos-energeticos-de-comprension,46,25,1.84,40.2,147,0,0
/filosofia,46,35,1.3142857142857143,56.142857142857146,77,0,0
/guias/aumnor,46,31,1.4838709677419355,0.25806451612903225,49,0,0
/audios/136-orsil-taller-de-rescate-adimensional,45,9,5,81.77777777777777,106,0,0
/informes/282,45,10,4.5,118.7,122,0,0
/informes/727,45,8,5.625,57,90,0,0
/archivos_raiz,44,21,2.0952380952380953,41.19047619047619,51,0,0
/comunicados/tap-237-el-trabajo-espiritual-parece-facil-pero-no-lo-es,44,28,1.5714285714285714,64.89285714285714,107,0,0
/comunicados/1365-produccion-y-rutina,43,30,1.4333333333333333,35.13333333333333,115,0,0
/archivos/personal,42,22,1.9090909090909092,14.136363636363637,49,0,0
/eventos/jornada-vivencial-de-contacto-estelar,42,23,1.826086956521739,9.826086956521738,82,0,0
/utg,42,16,2.625,134.75,108,0,0
/archivos/equipos/interiorizacion/nivel_uno/1 - primer ciclo,41,24,1.7083333333333333,113.625,99,0,0
/comunicados/1373-el-ser-humano-necesita-autodescubrirse,41,28,1.4642857142857142,57.82142857142857,118,0,0
/comunicados/tap-260-un-proyecto-comun-de-unidad-universal-cosmico-cristica,41,25,1.64,7.52,91,0,0
/ong,41,30,1.3666666666666667,59.46666666666667,107,0,0
/comunicados/1375-planetas-de-gran-vibracion,40,28,1.4285714285714286,244.71428571428572,217,0,0
/informacion-legal,40,19,2.1052631578947367,99.05263157894737,139,0,0
/libros/album-cartas-de-uommo,40,25,1.6,29.48,106,0,0
/meditaciones/meditacion-de-unificacion-con-los-muul,39,17,2.2941176470588234,18.58823529411765,71,0,0
/boletines,38,24,1.5833333333333333,47.375,55,0,0
/comunicados/1369-una-adecuada-especializacion-trascendental,38,25,1.52,71.32,120,0,0
/equipos/casa-tseyor-puerto-rico,37,10,3.7,6.8,41,0,0
/informes/12,37,19,1.9473684210526316,4.052631578947368,40,0,0
/archivos/equipos/priores-y-belankiles,36,10,3.6,131.8,40,0,0
/audios/138-shilcars-meditacion-de-shilcars-i,36,17,2.1176470588235294,19.294117647058822,85,0,0
/audios/mac-1364-rasbek-equilibrio-e-intuicion,36,27,1.3333333333333333,9,79,0,0
/comunicados/1321-todo-parece-un-ilusionante-y-fantastico-cuento,36,24,1.5,146.45833333333334,130,0,0
/guias/eanur-om,36,28,1.2857142857142858,0.6785714285714286,36,0,0
/comunicados/1391-el-amor-une-y-nunca-separa,35,24,1.4583333333333333,337.4583333333333,84,0,0
/informes/746,35,6,5.833333333333333,57.166666666666664,57,0,0
/archivos/equipos/consejo-de-los-doce,34,14,2.4285714285714284,69.78571428571429,109,0,0
/centros/muulasterio-tseyor-de-tegoyo,34,26,1.3076923076923077,39.38461538461539,125,0,0
/confederacion-de-mundos-habitados-de-la-galaxia,34,17,2,52.76470588235294,84,0,0
/eventos/meditacion-colectiva-por-la-sanacion-de-la-tierra,34,19,1.7894736842105263,48.68421052631579,90,0,0
/informes,34,20,1.7,50.35,50,0,0
/informes/685,34,9,3.7777777777777777,8.555555555555555,37,0,0
